experiment.id,a.primer,p1.primer,assay.type,evo.time.point,assay.time.point,replicate,medium,ploidy,n.mobyBCs.in.exp,n.mobyBCs.per.well,sample.set,pur.pool,proc.plate,barcode.1,barcode.2,barcode.3,barcode.4,barcode.5,barcode.6,barcode.7,barcode.8,barcode.9,barcode.10,barcode.11,barcode.12,barcode.13,barcode.14,barcode.15,barcode.16,barcode.17,barcode.18,barcode.19,barcode.20,barcode.21,barcode.22,barcode.23
10_S11_E,Ion_17,Ion_R3,evolution,T=10,,,CM,diploid,22,2,S11,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A8,d1H8,d1A9,d1H9,d1A10,d1H10,d1A11,d1H11,d1B1,d1C1,d1B2,d1C2,
15_S11_E,Ion_17,Ion_R4,evolution,T=15,,,CM,diploid,22,2,S11,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A8,d1H8,d1A9,d1H9,d1A10,d1H10,d1A11,d1H11,d1B1,d1C1,d1B2,d1C2,
20_S11_E,Ion_17,Ion_R5,evolution,T=20,,,CM,diploid,22,2,S11,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A8,d1H8,d1A9,d1H9,d1A10,d1H10,d1A11,d1H11,d1B1,d1C1,d1B2,d1C2,
22_S11_E,Ion_17,Ion_R6,evolution,T=22,,,CM,diploid,22,2,S11,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A8,d1H8,d1A9,d1H9,d1A10,d1H10,d1A11,d1H11,d1B1,d1C1,d1B2,d1C2,
24_S11_E,Ion_17,Ion_R7,evolution,T=24,,,CM,diploid,22,2,S11,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A8,d1H8,d1A9,d1H9,d1A10,d1H10,d1A11,d1H11,d1B1,d1C1,d1B2,d1C2,
25_S11_E,Ion_17,Ion_R8,evolution,T=25,,,CM,diploid,22,2,S11,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A8,d1H8,d1A9,d1H9,d1A10,d1H10,d1A11,d1H11,d1B1,d1C1,d1B2,d1C2,
0_S12_E,Ion_18,Ion_R2,evolution,T=0,,,CM,diploid,22,2,S12,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B3,d1C3,d1B4,d1C4,d1B5,d1C5,d1B6,d1C6,d1B7,d1C7,
10_S12_E,Ion_18,Ion_R3,evolution,T=10,,,CM,diploid,22,2,S12,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B3,d1C3,d1B4,d1C4,d1B5,d1C5,d1B6,d1C6,d1B7,d1C7,
15_S12_E,Ion_18,Ion_R4,evolution,T=15,,,CM,diploid,22,2,S12,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B3,d1C3,d1B4,d1C4,d1B5,d1C5,d1B6,d1C6,d1B7,d1C7,
20_S12_E,Ion_18,Ion_R5,evolution,T=20,,,CM,diploid,22,2,S12,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B3,d1C3,d1B4,d1C4,d1B5,d1C5,d1B6,d1C6,d1B7,d1C7,
24_S12_E,Ion_18,Ion_R6,evolution,T=24,,,CM,diploid,22,2,S12,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B3,d1C3,d1B4,d1C4,d1B5,d1C5,d1B6,d1C6,d1B7,d1C7,
25_S12_E,Ion_18,Ion_R7,evolution,T=25,,,CM,diploid,22,2,S12,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B3,d1C3,d1B4,d1C4,d1B5,d1C5,d1B6,d1C6,d1B7,d1C7,
22_S12_E,Ion_18,Ion_R8,evolution,T=22,,,CM,diploid,22,2,S12,r2,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B3,d1C3,d1B4,d1C4,d1B5,d1C5,d1B6,d1C6,d1B7,d1C7,
0_S13_E,Ion_19,Ion_R2,evolution,T=0,,,CM,diploid,22,2,S13,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B9,d1C9,d1B10,d1C10,d1B11,d1C11,d1B12,d1C12,d1D2,d1E2,
10_S13_E,Ion_19,Ion_R3,evolution,T=10,,,CM,diploid,22,2,S13,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B9,d1C9,d1B10,d1C10,d1B11,d1C11,d1B12,d1C12,d1D2,d1E2,
15_S13_E,Ion_19,Ion_R4,evolution,T=15,,,CM,diploid,22,2,S13,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B9,d1C9,d1B10,d1C10,d1B11,d1C11,d1B12,d1C12,d1D2,d1E2,
20_S13_E,Ion_19,Ion_R5,evolution,T=20,,,CM,diploid,22,2,S13,r1,reprocess,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,d1B9,d1C9,d1B10,d1C10,d1B11,d1C11,d1B12,d1C12,d1D2,d1E2,
