experiment.id,a.primer,p1.primer,assay.type,evo.time.point,assay.time.point,replicate,medium,ploidy,n.mobyBCs.in.exp,n.mobyBCs.per.well,sample.set,pur.pool,proc.plate,pcr2,barcode.1,barcode.2,barcode.3,barcode.4,barcode.5,barcode.6,barcode.7,barcode.8,barcode.9,barcode.10,barcode.11,barcode.12,barcode.13,barcode.14,barcode.15,barcode.16,barcode.17,barcode.18,barcode.19,barcode.20,barcode.21,barcode.22,barcode.23
0_M4_25_R1,Ion_37,Ion_R4,competition,T=25,T=0,R=1,CM,diploid,13,2,M4,3,p3,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M4_25_R2,Ion_38,Ion_R4,competition,T=25,T=0,R=2,CM,diploid,13,2,M4,3,p3,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M4_25_R3,Ion_39,Ion_R4,competition,T=25,T=0,R=3,CM,diploid,13,2,M4,3,p3,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M4_25_R4,Ion_40,Ion_R4,competition,T=25,T=0,R=4,CM,diploid,13,2,M4,3,p3,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_0_R1,Ion_17,Ion_R11,competition,T=0,T=3,R=1,CM,diploid,13,2,M4,6,p4,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_0_R2,Ion_18,Ion_R11,competition,T=0,T=3,R=2,CM,diploid,13,2,M4,6,p4,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_0_R3,Ion_19,Ion_R11,competition,T=0,T=3,R=3,CM,diploid,13,2,M4,6,p4,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_0_R4,Ion_20,Ion_R11,competition,T=0,T=3,R=4,CM,diploid,13,2,M4,6,p4,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_25_R1,Ion_21,Ion_R11,competition,T=25,T=3,R=1,CM,diploid,13,2,M4,6,p4,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_25_R2,Ion_22,Ion_R11,competition,T=25,T=3,R=2,CM,diploid,13,2,M4,6,p4,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_25_R3,Ion_23,Ion_R11,competition,T=25,T=3,R=3,CM,diploid,13,2,M4,6,p4,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
3_M4_25_R4,Ion_24,Ion_R11,competition,T=25,T=3,R=4,CM,diploid,13,2,M4,6,p4,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M5_0_R1,Ion_33,Ion_R5,competition,T=0,T=0,R=1,CM,diploid,13,2,M5,4,p3,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M5_0_R2,Ion_34,Ion_R5,competition,T=0,T=0,R=2,CM,diploid,13,2,M5,4,p3,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
0_M5_0_R3,Ion_35,Ion_R5,competition,T=0,T=0,R=3,CM,diploid,13,2,M5,4,p3,no,d1H10,d1A2,d1H2,d1A3,d1H3,d1A4,d1H4,d1A5,d1H5,d1A6,d1H6,d1A7,d1H7,,,,,,,,,,
